dataset,hop_count,pipeline,n,f1_mean,f1_std
2wikimultihopqa,2,agentic_(react),150,0.5699,0.4397
2wikimultihopqa,2,crag_replica,150,0.2857,0.3807
2wikimultihopqa,2,loop_refinement,150,0.5519,0.4496
2wikimultihopqa,2,naive_rag,150,0.422,0.4556
2wikimultihopqa,2,single-pass,150,0.5408,0.4524
2wikimultihopqa,4,agentic_(react),50,0.6278,0.4244
2wikimultihopqa,4,crag_replica,50,0.1648,0.1742
2wikimultihopqa,4,loop_refinement,50,0.323,0.3479
2wikimultihopqa,4,naive_rag,50,0.2454,0.2671
2wikimultihopqa,4,single-pass,50,0.323,0.3479
musique,2,agentic_(react),114,0.4749,0.4502
musique,2,crag_replica,114,0.3187,0.4172
musique,2,loop_refinement,114,0.4232,0.4425
musique,2,naive_rag,114,0.3483,0.4186
musique,2,single-pass,114,0.4204,0.4379
musique,3,agentic_(react),54,0.4233,0.4453
musique,3,crag_replica,54,0.1738,0.355
musique,3,loop_refinement,54,0.3927,0.4469
musique,3,naive_rag,54,0.4101,0.4493
musique,3,single-pass,54,0.3439,0.4269
musique,4,agentic_(react),32,0.3332,0.4124
musique,4,crag_replica,32,0.1385,0.2928
musique,4,loop_refinement,32,0.3204,0.4179
musique,4,naive_rag,32,0.2077,0.3631
musique,4,single-pass,32,0.322,0.4193
hotpotqa,2,agentic_(react),200,0.6576,0.4037
hotpotqa,2,crag_replica,200,0.5533,0.4278
hotpotqa,2,loop_refinement,200,0.6358,0.4113
hotpotqa,2,naive_rag,200,0.6057,0.4203
hotpotqa,2,single-pass,200,0.6295,0.4131
